title,geolocation,domain,network,subnetwork
American Independent,US,americanindependent.com,American Independent,
American Independent Foundation,US,americanindependentfoundation.com,American Independent,
Wisconsin Independent,Wisconsin,wisconsinindependent.com,American Independent,
Michigan Independent,Michigan,michiganindependent.com,American Independent,
Pennsylvania Independent,Pennsylvania,pennsylvaniaindependent.com,American Independent,
Arizona Independent,Arizona,arizonaindependent.com,American Independent,
Ohio Independent,Ohio,ohioindependent.com,American Independent,
Courier,US,couriernewsroom.com,Courier,
Copper Courier,Arizona,coppercourier.com,Courier,
The Dogwood,Virginia,vadogwood.com,Courier,
The Keystone,Pennsylvania,keystonenewsroom.com,Courier,
Up North News,Wisconsin,upnorthnewswi.com,Courier,
Carinal & Pine,North Carolina,cardinalpine.com,Courier,
Iowa Starting Line,Iowa,iowastartingline.com,Courier,
The Gander,Michigan,gandernewsroom.com,Courier,
Floricua,Florida,theamericanonews.com,Courier,
Amoskeag Times,New Hampshire,amoskeagtimes.com,Local Report,
Augusta-Richmond Herald,Georgia,augustarichmondherald.com,Local Report,
Bucks County Standard,Pennsylvania,buckscountystandard.com,Local Report,
Central Pennsylvania Times,Pennsylvania,southcentraltimes.com,Local Report,
Central Pennsylvania Times,Pennsylvania,centralpatimes.com,Local Report,
Cobb News,Georgia,cobbnewsga.com,Local Report,
Everett Times,New Hampshire,everetttimes.com,Local Report,
Grand Rapids News,Michigan,grandrapidsminews.com,Local Report,
Henderson Times,Nevada,hendersontimes.org,Local Report,
La Crosse Leader,Wisconsin,lacrosseleader.org,Local Report,
Lehigh Valley News,Pennsylvania,lehighnews.org,Local Report,
Macomb Digest,Michigan,macombdigest.com,Local Report,
Mecklenburg Herald,North Carolina,mecklenburgherald.com,Local Report,
Mesa Times,Arizona,mesatimes.org,Local Report,
Mile High Sentinel,Colorado,milehighsentinel.com,Local Report,
Milwaukee Metro Times,Wisconsin,milwaukeemetrotimes.com,Local Report,
Northern Clark County Herald,Nevada,northernclarkcountyherald.com,Local Report,
Northern Wisconsin Times,Wisconsin,northernwitimes.com,Local Report,
Northwest Lake Times,Pennsylvania,nwlaketimes.com,Local Report,
Northwest Lake Times,Pennsylvania,flagshipcitynews.com,Local Report,
Oakland Times,Michigan,oaklandtimes.org,Local Report,
OTP Tribune,Georgia,otptribune.com,Local Report,
Pima Times,Arizona,pimatimes.com,Local Report,
Rock Valley Times,Wisconsin,rockvalleytimes.com,Local Report,
Rockingham Journal,New Hampshire,rockinghamjournal.com,Local Report,
Savannah Sun Times,Georgia,savannahsuntimes.com,Local Report,
Seacoast Standard,New Hampshire,seacoaststandard.org,Local Report,
Southern Colorado Times,Colorado,southerncoloradotimes.com,Local Report,
Summerlin Reporter,Nevada,summerlinreporter.com,Local Report,
The Colombus News,Georgia,colonews.org,Local Report,
The Commonwealth Community Report,Virginia,vacommunityreport.com,Local Report,
The Delaware Valley Sun,Pennsylvania,delawarevalleysun.com,Local Report,
The Macon Report,Georgia,maconreport.com,Local Report,
The Mid-Michigan Standard,Michigan,midmichiganstd.com,Local Report,
The Northeast Herald,Pennsylvania,northeastherald.org,Local Report,
The Piedmont Tribune,North Carolina,piedmonttribune.com,Local Report,
The Southeastern Times,Wisconsin,southeasterntimes.org,Local Report,
The Tri-City Record,Michigan,tri-cityrecord.org,Local Report,
The Valley Gazette,Arizona,valleygazette.org,Local Report,
The Washoe Gazette,Nevada,washoegazette.com,Local Report,
The Wayne Herald,Michigan,wayneherald.org,Local Report,
The Wayne Herald,Michigan,waynecountyherald.com,Local Report,
Three Rivers Gazette,Pennsylvania,threeriversgazette.com,Local Report,
Triangle News,North Carolina,trianglenews.org,Local Report,
Two Rivers News,Michigan,tworiversnews.org,Local Report,
Upper Peninsula Times,Michigan,upperpeninsulatimes.com,Local Report,
Wisconsin Lake Times,Wisconsin,wisconsinlaketimes.com,Local Report,
Wisconsin Lake Times,Wisconsin,centralwisconsintimes.com,Local Report,
Yuma Standard,Arizona,yumastandard.com,Local Report,
Arizona Sun Times,Arizona,arizonasuntimes.com,Star,
Florida Capital Star,Florida,floridacapitalstar.com,Star,
Georgia Star News,Georgia,georgiastarnews.com,Star,
Pennsylvania Daily Star,Pennsylvania,pennsylvaniadailystar.com,Star,
Tennessee Star,Tennessee,tennesseestar.com,Star,
Connecticut Star,Connecticut,theconnecticutstar.com,Star,
Michigan Star,Michigan,themichiganstar.com,Star,
Minnesota Sun,Minnesota,theminnesotasun.com,Star,
Ohio Star,Ohio,theohiostar.com,Star,
Virginia Star,Virginia,thevirginiastar.com,Star,
Wisconsin Daily Star,Wisconsin,wisconsindailystar.com,Star,
Auburn Times,Alabama,auburntimes.com,Metric Media Network,Metric Media
Baldwin Times,Alabama,baldwintimes.com,Metric Media Network,Metric Media
Decatur Times,Alabama,decaturtimes.com,Metric Media Network,Metric Media
EC Alabama News,Alabama,ecalabamanews.com,Metric Media Network,Metric Media
Gadsden Today,Alabama,gadsdentoday.com,Metric Media Network,Metric Media
Huntsville Leader,Alabama,huntsvilleleader.com,Metric Media Network,Metric Media
Jefferson Reporter,Alabama,jeffersonreporter.com,Metric Media Network,Metric Media
Mobile Courant,Alabama,mobilecourant.com,Metric Media Network,Metric Media
NE Alabama News,Alabama,nealabamanews.com,Metric Media Network,Metric Media
NW Alabama News,Alabama,nwalabamanews.com,Metric Media Network,Metric Media
North Birmingham Times,Alabama,northbirminghamtimes.com,Metric Media Network,Metric Media
River Region Times,Alabama,riverregiontimes.com,Metric Media Network,Metric Media
Shoals Today,Alabama,shoalstoday.com,Metric Media Network,Metric Media
South Alabama Times,Alabama,southalabamatimes.com,Metric Media Network,Metric Media
South Birmingham Times,Alabama,southbirminghamtimes.com,Metric Media Network,Metric Media
Tuscaloosa Leader,Alabama,tuscaloosaleader.com,Metric Media Network,Metric Media
WC Alabama News,Alabama,wcalabamanews.com,Metric Media Network,Metric Media
Wiregrass Times,Alabama,wiregrasstimes.com,Metric Media Network,Metric Media
Yellowhammer Times,Alabama,yellowhammertimes.com,Metric Media Network,Metric Media
AL Business Daily,Alabama,albusinessdaily.com,Metric Media Network,Metro Business Network
Interior Alaska News,Alaska,interioralaskanews.com,Metric Media Network,Metric Media
Last Frontier News,Alaska,lastfrontiernews.com,Metric Media Network,Metric Media
Mat-Su Times,Alaska,matsutimes.com,Metric Media Network,Metric Media
North Alaska News,Alaska,northalaskanews.com,Metric Media Network,Metric Media
SC Alaska News,Alaska,scalaskanews.com,Metric Media Network,Metric Media
SE Alaska News,Alaska,sealaskanews.com,Metric Media Network,Metric Media
SW Alaska News,Alaska,swalaskanews.com,Metric Media Network,Metric Media
AK Business Daily,Alaska,akbusinessdaily.com,Metric Media Network,Metro Business Network
Angola Business Daily,Angola,angolabusinessdaily.com,Metric Media Network,Metro Business Network
Arizona Catholic Tribune,Arizona,azcatholictribune.com,Metric Media Network,Franklin Archer
Coconino News,Arizona,coconinonews.com,Metric Media Network,Metric Media
East Arizona News,Arizona,eastarizonanews.com,Metric Media Network,Metric Media
Grand Canyon Times,Arizona,grandcanyontimes.com,Metric Media Network,Metric Media
Mohave Today,Arizona,mohavetoday.com,Metric Media Network,Metric Media
NE Valley Times,Arizona,nevalleytimes.com,Metric Media Network,Metric Media
NW Valley Times,Arizona,nwvalleytimes.com,Metric Media Network,Metric Media
North Pima News,Arizona,northpimanews.com,Metric Media Network,Metric Media
PHX Reporter,Arizona,phxreporter.com,Metric Media Network,Metric Media
Pinal Today,Arizona,pinaltoday.com,Metric Media Network,Metric Media
SE Arizona News,Arizona,searizonanews.com,Metric Media Network,Metric Media
SE Valley Times,Arizona,sevalleytimes.com,Metric Media Network,Metric Media
SW Arizona News,Arizona,swarizonanews.com,Metric Media Network,Metric Media
SW Valley Times,Arizona,swvalleytimes.com,Metric Media Network,Metric Media
South Pima News,Arizona,southpimanews.com,Metric Media Network,Metric Media
Tucson Standard,Arizona,tucsonstandard.com,Metric Media Network,Metric Media
Yavapai News,Arizona,yavapainews.com,Metric Media Network,Metric Media
AZ Business Daily,Arizona,azbusinessdaily.com,Metric Media Network,Metro Business Network
Benton Times,Arkansas,bentontimes.com,Metric Media Network,Metric Media
East Little Rock Times,Arkansas,eastlittlerocktimes.com,Metric Media Network,Metric Media
Fayetteville Standard,Arkansas,fayettevillestandard.com,Metric Media Network,Metric Media
Fort Smith Times,Arkansas,fortsmithtimes.com,Metric Media Network,Metric Media
Hot Springs Times,Arkansas,hotspringstimes.com,Metric Media Network,Metric Media
Jonesboro Times,Arkansas,jonesborotimes.com,Metric Media Network,Metric Media
Lowe Delta News,Arkansas,lowedeltanews.com,Metric Media Network,Metric Media
NC Arkansas News,Arkansas,ncarkansasnews.com,Metric Media Network,Metric Media
NW Arkansas News,Arkansas,nwarkansasnews.com,Metric Media Network,Metric Media
Natural State Business News,Arkansas,naturalstatebusinessnews.com,Metric Media Network,Metric Media
Natural State News,Arkansas,naturalstatenews.com,Metric Media Network,Metric Media
North Little Rock Times,Arkansas,northlittlerocktimes.com,Metric Media Network,Metric Media
Pulaski Times,Arkansas,pulaskitimes.com,Metric Media Network,Metric Media
